Name,Description,Published,Date,Event,City,PresentationURL,Thumbnail,PresentationStaticURL,EventURL,VideoURL,AudioURL,ArticleURL
,,,,,,,,,,,,
'Jsi líný , nauč se programovat!',,TRUE,2019-04-18,Free Spirit II.,Praha,https://docs.google.com/presentation/d/1ycQ-0wxqNqrxPRXiXVDSrcEmDEmdHAQm50aP6uXLB0g/edit?usp=sharing,https://lh5.googleusercontent.com/s1wkleVbKDCTvrwNoV3lyiSkRTg-kVvsjthExdlUEVRYEO5UV0ppj8tXM0ppQ3V47hqOm3J2CiHzU4IPcTyuPkNFkplT0-eMKwi99oIIuPvNekhfa_BZAjDgFWaJSLbR1vwyJHGKQos,,,,,
Asynchronní javascript,,TRUE,2019-04-04,Webmeetup,Plzeň,?id=asynchronous-javascript&event=WebMeetup Plzeň,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Bitcoin,,,,,České Budějovice,,,,,,,
Bitcoin,,,,,Opava,,,,,,,
Bitcoin,,,,ITNetowork,Praha,,,,,,,
Bitcoin,,,,,Mladá Boleslav,,,,,,,
Bitcoin,,,2017,Pythagoras,Slovensko,,,,,,,
,,,,,,,,,,,,
Jak chránit svoje soukromí na webu,,,2018,Pythagoras,Slovensko,,,,,,,
Heslá,,,2017,Pythagoras,Slovensko,,,,,,,
,,,2016,Pythagoras,Slovensko,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
3D na webu,,,,ITNetowork,,,,,,,,
3D na webu,,,,OpenAlt,,,,,,,,
3D na webu,,,,JobsDev,,,,,,,,
3D na webu,,,Hradec Králové,Barcamp,,,,,,,,
3D na webu,,,,OpenAlt,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
VR na webu (Usecases),,,,AVRAR,,,,,,,,
VR na webu (Workshop),,,,,,,,,,,,
,,,,,,,,,,,,
Vývoj her na webu,,,2018,LinuxDays,,,,,,,,
Jak vyrobit vlastní hru (na webu),,,Jaro 2016,ITNetwork,,,,,,,,
Jak vyrobit vlastní hru (na webu),,, Léto 2017,Péhápkáři,,,,,,,,
Jak vyrobit vlastní hru (na webu),,,Podzim 2017,OpenAlt,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Užitečná browser APIs,'Jak tvořit velké a komplexní aplikace přímo na webu? V krátkosti vám ukážu nejzajímavější a podle mě nejdůležitější javascriptové prohlížečové API, které vám při tom pomohou.

- **WebSockets** - Pro tvorbu real-time aplikací
- **WebWorkers** - Paralelizace
- **FileReader** - Práce se soubory
- **LocalStorage, IndexedDB** - Srovnání perzistentních uložišť v prohlížeči
- **WebGl, WebVR** - 3D na webu
- **Web Audio/Video** - Média na webu
- **Fullscreen API, Pointer Lock API** - Pro vývoj her',,,LinuxDays,,,,,,,,
Užitečná browser APIs,'Jak tvořit velké a komplexní aplikace přímo na webu? V krátkosti vám ukážu nejzajímavější a podle mě nejdůležitější javascriptové prohlížečové API, které vám při tom pomohou.

- **WebSockets** - Pro tvorbu real-time aplikací
- **WebWorkers** - Paralelizace
- **FileReader** - Práce se soubory
- **LocalStorage, IndexedDB** - Srovnání perzistentních uložišť v prohlížeči
- **WebGl, WebVR** - 3D na webu
- **Web Audio/Video** - Média na webu
- **Fullscreen API, Pointer Lock API** - Pro vývoj her',TRUE,2019-04-11,Frontendisti,Brno,?id=useful-browser-apis&event=Minikonference duben | Frontendisti.cz,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
'Tvořte úspěšný, ne dokonalý produkt! ','Je pro úspěšné spuštění webového projektu potřeba vyladit všechny detaily?
Rozhodně ne! Čím dřív aplikaci spustíte, tím dříve můžete sbírat cenný feedback a vytvořit takový produkt, který uživatelé opravdu chtějí.
Na základě zkušeností z mnoha úspěšných i neúspěšných projektů vám povím, na co se před prvním spuštěním vykašlat a co se naopak zaměřit. ',TRUE,2019-04-06,Barcamp,Praha,https://docs.google.com/presentation/d/1afsxwtzX1WVsmFrRbQl8l5du8tdLvXj9PFpheNdp9TM,/content/drafts/tvorte-uspesny-ne-dokonaly-produkt/hedu2.png,,,,,
'Tvořte úspěšný, ne dokonalý produkt! ','Je pro úspěšné spuštění webového projektu potřeba vyladit všechny detaily?
Rozhodně ne! Čím dřív aplikaci spustíte, tím dříve můžete sbírat cenný feedback a vytvořit takový produkt, který uživatelé opravdu chtějí.
Na základě zkušeností z mnoha úspěšných i neúspěšných projektů vám povím, na co se před prvním spuštěním vykašlat a co se naopak zaměřit. ',TRUE,2019-04-13,Barcamp,Plzeň,?id=drafts/tvorte-uspesny-ne-dokonaly-produkt&event=Plzeňský Barcamp,/content/drafts/tvorte-uspesny-ne-dokonaly-produkt/hedu2.png,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Fraktály,,,,ITNetowork,,,,,,,,
Fraktály,,,,Péhápkáři,,,,,,,,
,,,,,,,,,,,,
Generováná grafika na webu,,,,ITNetwork,,,,https://www.slideshare.net/PavolHejn/generovan-2d-grafika-na-webu,,https://www.itnetwork.cz/zpravodajstvi/prednasky/grafika-na-webu-prednaska,,
Jak psát velké webové a mobilní aplikace,,,Jaro 2016,,,,,,,,,
Jak psát velké webové a mobilní aplikace,,,Jaro 2017,,,,,https://www.slideshare.net/PavolHejn/webov-aplikace-v-javascriptu,,https://www.itnetwork.cz/zpravodajstvi/prednasky/prednasdka-javascript-a-technologie-na-nem-postavene,,
Bezpečnost webů,,,Jaro 2018,,,,,,,,,https://www.itnetwork.cz/php/bezpecnost/jak-si-nechat-hacknout-webovou-aplikaci
,,,,,,,,,,,,
,,,,,,,,,,,,
Grafová databáze Neo4j,,,Jaro 2018,MeasureCamp,,,,,,,,
,,,,,,,,,,,,
Jak funguje online hra Towns?,,,2015?,ITNetwork,,,,,,http://www.itnetwork.cz/zpravodajstvi/prednasky/jak-funguje-online-hra-towns,,http://www.itnetwork.cz/zpravodajstvi/prednasky/jak-funguje-online-hra-towns
